Class,Name,Party Code,State,Term End,Term Start,Session
1,Bradley Byrne,R,Alabama,,,101
2,Martha Roby,R,Alabama,,,101
3,Mike Rogers,R,Alabama,,,101
4,Robert Aderholt,R,Alabama,,,101
5,Mo Brooks,R,Alabama,,,101
6,Gary Palmer,R,Alabama,,,101
7,Terri Sewell,D,Alabama,,,101
A,Don Young,R,Alaska,,,101
1,Ann Kirkpatrick,D,Arizona,,,101
2,Martha McSally,R,Arizona,,,101
3,Raúl Grijalva,D,Arizona,,,101
4,Paul Gosar,R,Arizona,,,101
5,Matt Salmon,R,Arizona,,,101
6,David Schweikert,R,Arizona,,,101
7,Ruben Gallego,D,Arizona,,,101
8,Trent Franks,R,Arizona,,,101
9,Kyrsten Sinema,D,Arizona,,,101
1,Rick Crawford,R,Arkansas,,,101
2,French Hill,R,Arkansas,,,101
3,Steve Womack,R,Arkansas,,,101
4,Bruce Westerman,R,Arkansas,,,101
1,Doug LaMalfa,R,California,,,101
2,Jared Huffman,D,California,,,101
3,John Garamendi,D,California,,,101
4,Tom McClintock,R,California,,,101
5,Mike Thompson,D,California,,,101
6,Doris Matsui,D,California,,,101
7,Ami Bera,D,California,,,101
8,Paul Cook,R,California,,,101
9,Jerry McNerney,D,California,,,101
1,Jeff Denham,R,California,,,101
1,Mark DeSaulnier,D,California,,,101
1,Nancy Pelosi,D,California,,,101
1,Barbara Lee,D,California,,,101
1,Jackie Speier,D,California,,,101
1,Eric Swalwell,D,California,,,101
1,Jim Costa,D,California,,,101
1,Mike Honda,D,California,,,101
1,Anna Eshoo,D,California,,,101
1,Zoe Lofgren,D,California,,,101
2,Sam Farr,D,California,,,101
2,David Valadao,R,California,,,101
2,Devin Nunes,R,California,,,101
2,Kevin McCarthy,R,California,,,101
2,Lois Capps,D,California,,,101
2,Steve Knight,R,California,,,101
2,Julia Brownley,D,California,,,101
2,Judy Chu,D,California,,,101
2,Adam Schiff,D,California,,,101
2,Tony Cardenas,D,California,,,101
3,Brad Sherman,D,California,,,101
3,Pete Aguilar,D,California,,,101
3,Grace Napolitano,D,California,,,101
3,Ted Lieu,D,California,,,101
3,Xavier Becerra,D,California,,,101
3,Norma Torres,D,California,,,101
3,Raul Ruiz,D,California,,,101
3,Karen Bass,D,California,,,101
3,Linda Sánchez,D,California,,,101
3,Ed Royce,R,California,,,101
4,Lucille Roybal-Allard,D,California,,,101
4,Mark Takano,D,California,,,101
4,Ken Calvert,R,California,,,101
4,Maxine Waters,D,California,,,101
4,Janice Hahn,D,California,,,101
4,Mimi Walters,R,California,,,101
4,Loretta Sanchez,D,California,,,101
4,Alan Lowenthal,D,California,,,101
4,Dana Rohrabacher,R,California,,,101
4,Darrell Issa,R,California,,,101
5,Duncan D. Hunter,R,California,,,101
5,Juan Vargas,D,California,,,101
5,Scott Peters,D,California,,,101
5,Susan Davis,D,California,,,101
1,Diana DeGette,D,Colorado,,,101
2,Jared Polis,D,Colorado,,,101
3,Scott Tipton,R,Colorado,,,101
4,Ken Buck,R,Colorado,,,101
5,Doug Lamborn,R,Colorado,,,101
6,Mike Coffman,R,Colorado,,,101
7,Ed Perlmutter,D,Colorado,,,101
1,John Larson,D,Connecticut,,,101
2,Joe Courtney,D,Connecticut,,,101
3,Rosa DeLauro,D,Connecticut,,,101
4,Jim Himes,D,Connecticut,,,101
5,Elizabeth Esty,D,Connecticut,,,101
A,John Carney,D,Delaware,,,101
1,Jeff Miller,R,Florida,,,101
2,Gwen Graham,D,Florida,,,101
3,Ted Yoho,R,Florida,,,101
4,Ander Crenshaw,R,Florida,,,101
5,Corrine Brown,D,Florida,,,101
6,Ron DeSantis,R,Florida,,,101
7,John Mica,R,Florida,,,101
8,Bill Posey,R,Florida,,,101
9,Alan Grayson,D,Florida,,,101
1,Daniel Webster,R,Florida,,,101
1,Rich Nugent,R,Florida,,,101
1,Gus Bilirakis,R,Florida,,,101
1,David Jolly,R,Florida,,,101
1,Kathy Castor,D,Florida,,,101
1,Dennis Ross,R,Florida,,,101
1,Vern Buchanan,R,Florida,,,101
1,Tom Rooney,R,Florida,,,101
1,Patrick Murphy,D,Florida,,,101
1,Curt Clawson,R,Florida,,,101
2,Alcee Hastings,D,Florida,,,101
2,Ted Deutch,D,Florida,,,101
2,Lois Frankel,D,Florida,,,101
2,Debbie Wasserman Schultz,D,Florida,,,101
2,Frederica Wilson,D,Florida,,,101
2,Mario Diaz-Balart,R,Florida,,,101
2,Carlos Curbelo,R,Florida,,,101
2,Ileana Ros-Lehtinen,R,Florida,,,101
1,Buddy Carter,R,Georgia,,,101
2,Sanford Bishop,D,Georgia,,,101
3,Lynn Westmoreland,R,Georgia,,,101
4,Hank Johnson,D,Georgia,,,101
5,John Lewis,D,Georgia,,,101
6,Tom Price,R,Georgia,,,101
7,Rob Woodall,R,Georgia,,,101
8,Austin Scott,R,Georgia,,,101
9,Doug Collins,R,Georgia,,,101
1,Jody Hice,R,Georgia,,,101
1,Barry Loudermilk,R,Georgia,,,101
1,Rick Allen,R,Georgia,,,101
1,David Scott,D,Georgia,,,101
1,Tom Graves,R,Georgia,,,101
1,Mark Takai,D,Hawaii,,,101
2,Tulsi Gabbard,D,Hawaii,,,101
1,Raul Labrador,R,Idaho,,,101
2,Mike Simpson,R,Idaho,,,101
1,Bobby Rush,D,Illinois,,,101
2,Robin Kelly,D,Illinois,,,101
3,Dan Lipinski,D,Illinois,,,101
4,Luis Gutiérrez,D,Illinois,,,101
5,Mike Quigley,D,Illinois,,,101
6,Peter Roskam,R,Illinois,,,101
7,Danny K. Davis,D,Illinois,,,101
8,Tammy Duckworth,D,Illinois,,,101
9,Jan Schakowsky,D,Illinois,,,101
1,Robert Dold,R,Illinois,,,101
1,Bill Foster,D,Illinois,,,101
1,Mike Bost,R,Illinois,,,101
1,Rodney L. Davis,R,Illinois,,,101
1,Randy Hultgren,R,Illinois,,,101
1,John Shimkus,R,Illinois,,,101
1,Adam Kinzinger,R,Illinois,,,101
1,Cheri Bustos,D,Illinois,,,101
1,Aaron Schock,R,Illinois,2015-03-31 00:00:00,,101
1,Pete Visclosky,D,Indiana,,,101
2,Jackie Walorski,R,Indiana,,,101
3,Marlin Stutzman,R,Indiana,,,101
4,Todd Rokita,R,Indiana,,,101
5,Susan Brooks,R,Indiana,,,101
6,Luke Messer,R,Indiana,,,101
7,André Carson,D,Indiana,,,101
8,Larry Bucshon,R,Indiana,,,101
9,Todd Young,R,Indiana,,,101
1,Rod Blum,R,Iowa,,,101
2,David Loebsack,D,Iowa,,,101
3,David Young,R,Iowa,,,101
4,Steve King,R,Iowa,,,101
1,Tim Huelskamp,R,Kansas,,,101
2,Lynn Jenkins,R,Kansas,,,101
3,Kevin Yoder,R,Kansas,,,101
4,Mike Pompeo,R,Kansas,,,101
1,Ed Whitfield,R,Kentucky,,,101
2,Brett Guthrie,R,Kentucky,,,101
3,John Yarmuth,D,Kentucky,,,101
4,Thomas Massie,R,Kentucky,,,101
5,Hal Rogers,R,Kentucky,,,101
6,Andy Barr,R,Kentucky,,,101
1,Steve Scalise,R,Louisiana,,,101
2,Cedric Richmond,D,Louisiana,,,101
3,Charles Boustany,R,Louisiana,,,101
4,John Fleming,R,Louisiana,,,101
5,Ralph Abraham,R,Louisiana,,,101
6,Garret Graves,R,Louisiana,,,101
1,Chellie Pingree,D,Maine,,,101
2,Bruce Poliquin,R,Maine,,,101
1,Andrew Harris,R,Maryland,,,101
2,Dutch Ruppersberger,D,Maryland,,,101
3,John Sarbanes,D,Maryland,,,101
4,Donna Edwards,D,Maryland,,,101
5,Steny Hoyer,D,Maryland,,,101
6,John Delaney,D,Maryland,,,101
7,Elijah Cummings,D,Maryland,,,101
8,Chris Van Hollen,D,Maryland,,,101
1,Richard Neal,D,Massachusetts,,,101
2,Jim McGovern,D,Massachusetts,,,101
3,Niki Tsongas,D,Massachusetts,,,101
4,Joseph P. Kennedy III,D,Massachusetts,,,101
5,Katherine Clark,D,Massachusetts,,,101
6,Seth Moulton,D,Massachusetts,,,101
7,Mike Capuano,D,Massachusetts,,,101
8,Stephen Lynch,D,Massachusetts,,,101
9,Bill Keating,D,Massachusetts,,,101
1,Dan Benishek,R,Michigan,,,101
2,Bill Huizenga,R,Michigan,,,101
3,Justin Amash,R,Michigan,,,101
4,John Moolenaar,R,Michigan,,,101
5,Dan Kildee,D,Michigan,,,101
6,Fred Upton,R,Michigan,,,101
7,Tim Walberg,R,Michigan,,,101
8,Mike Bishop,R,Michigan,,,101
9,Sander Levin,D,Michigan,,,101
1,Candice Miller,R,Michigan,,,101
1,Dave Trott,R,Michigan,,,101
1,Deborah Dingell,D,Michigan,,,101
1,John Conyers,D,Michigan,,,101
1,Brenda Lawrence,D,Michigan,,,101
1,Tim Walz,D,Minnesota,,,101
2,John Kline,R,Minnesota,,,101
3,Erik Paulsen,R,Minnesota,,,101
4,Betty McCollum,D,Minnesota,,,101
5,Keith Ellison,D,Minnesota,,,101
6,Tom Emmer,R,Minnesota,,,101
7,Collin Peterson,D,Minnesota,,,101
8,Rick Nolan,D,Minnesota,,,101
1,Alan Nunnelee,R,Mississippi,2015-02-06 00:00:00,,101
2,Bennie Thompson,D,Vacant,,,101
3,Gregg Harper,R,Vacant,,,101
4,Steven Palazzo,R,Vacant,,,101
1,Lacy Clay,D,Missouri,,,101
2,Ann Wagner,R,Missouri,,,101
3,Blaine Luetkemeyer,R,Missouri,,,101
4,Vicky Hartzler,R,Missouri,,,101
5,Emanuel Cleaver,D,Missouri,,,101
6,Sam Graves,R,Missouri,,,101
7,Billy Long,R,Missouri,,,101
8,Jason T. Smith,R,Missouri,,,101
A,Ryan Zinke,R,Montana,,,101
1,Jeff Fortenberry,R,Nebraska,,,101
2,Brad Ashford,D,Nebraska,,,101
3,Adrian M. Smith,R,Nebraska,,,101
1,Dina Titus,D,Nevada,,,101
2,Mark Amodei,R,Nevada,,,101
3,Joe Heck,R,Nevada,,,101
4,Cresent Hardy,R,Nevada,,,101
1,Frank Guinta,R,New Hampshire,,,101
2,Ann McLane Kuster,D,New Hampshire,,,101
1,Donald Norcross,D,New Jersey,,,101
2,Frank LoBiondo,R,New Jersey,,,101
3,Tom MacArthur,R,New Jersey,,,101
4,Chris Smith,R,New Jersey,,,101
5,Scott Garrett,R,New Jersey,,,101
6,Frank Pallone,D,New Jersey,,,101
7,Leonard Lance,R,New Jersey,,,101
8,Albio Sires,D,New Jersey,,,101
9,Bill Pascrell,D,New Jersey,,,101
1,"Donald Payne, Jr.",D,New Jersey,,,101
1,Rodney Frelinghuysen,R,New Jersey,,,101
1,Bonnie Watson Coleman,D,New Jersey,,,101
1,Michelle Lujan Grisham,D,New Mexico,,,101
2,Steve Pearce,R,New Mexico,,,101
3,Ben Ray Lujan,D,New Mexico,,,101
1,Lee Zeldin,R,New York,,,101
2,Peter King,R,New York,,,101
3,Steve Israel,D,New York,,,101
4,Kathleen Rice,D,New York,,,101
5,Gregory Meeks,D,New York,,,101
6,Grace Meng,D,New York,,,101
7,Nydia Velazquez,D,New York,,,101
8,Hakeem Jeffries,D,New York,,,101
9,Yvette Clarke,D,New York,,,101
1,Jerrold Nadler,D,New York,,,101
1,Michael Grimm,R,New York,2015-01-05 00:00:00,,101
1,Daniel Donovan,R,New York,,2015-05-05 00:00:00,101
1,Carolyn Maloney,D,New York,,,101
1,Charles Rangel,D,New York,,,101
1,Joe Crowley,D,New York,,,101
1,Jose E. Serrano,D,New York,,,101
1,Eliot Engel,D,New York,,,101
1,Nita Lowey,D,New York,,,101
1,Sean Patrick Maloney,D,New York,,,101
1,Chris Gibson,R,New York,,,101
2,Paul Tonko,D,New York,,,101
2,Elise Stefanik,R,New York,,,101
2,Richard Hanna,R,New York,,,101
2,Thomas Reed,R,New York,,,101
2,John Katko,R,New York,,,101
2,Louise Slaughter,D,New York,,,101
2,Brian Higgins,D,New York,,,101
2,Chris Collins,R,New York,,,101
1,G.K. Butterfield,D,North Carolina,,,101
2,Renee Ellmers,R,North Carolina,,,101
3,Walter Jones Jr.,R,North Carolina,,,101
4,David Price,D,North Carolina,,,101
5,Virginia Foxx,R,North Carolina,,,101
6,Mark Walker,R,North Carolina,,,101
7,David Rouzer,R,North Carolina,,,101
8,Richard Hudson,R,North Carolina,,,101
9,Robert Pittenger,R,North Carolina,,,101
1,Patrick McHenry,R,North Carolina,,,101
1,Mark Meadows,R,North Carolina,,,101
1,Alma Adams,D,North Carolina,,,101
1,George Holding,R,North Carolina,,,101
A,Kevin Cramer,R,North Dakota,,,101
1,Steve Chabot,R,Ohio,,,101
2,Brad Wenstrup,R,Ohio,,,101
3,Joyce Beatty,D,Ohio,,,101
4,Jim Jordan,R,Ohio,,,101
5,Bob Latta,R,Ohio,,,101
6,Bill Johnson,R,Ohio,,,101
7,Bob Gibbs,R,Ohio,,,101
8,John Boehner,R,Ohio,,,101
9,Marcy Kaptur,D,Ohio,,,101
1,Mike Turner,R,Ohio,,,101
1,Marcia Fudge,D,Ohio,,,101
1,Pat Tiberi,R,Ohio,,,101
1,Tim Ryan,D,Ohio,,,101
1,David Joyce,R,Ohio,,,101
1,Steve Stivers,R,Ohio,,,101
1,Jim Renacci,R,Ohio,,,101
1,Jim Bridenstine,R,Oklahoma,,,101
2,Markwayne Mullin,R,Oklahoma,,,101
3,Frank Lucas,R,Oklahoma,,,101
4,Tom Cole,R,Oklahoma,,,101
5,Steve Russell,R,Oklahoma,,,101
1,Suzanne Bonamici,D,Oregon,,,101
2,Greg Walden,R,Oregon,,,101
3,Earl Blumenauer,D,Oregon,,,101
4,Peter DeFazio,D,Oregon,,,101
5,Kurt Schrader,D,Oregon,,,101
1,Bob Brady,D,Pennsylvania,,,101
2,Chaka Fattah,D,Pennsylvania,,,101
3,Mike Kelly,R,Pennsylvania,,,101
4,Scott Perry,R,Pennsylvania,,,101
5,Glenn Thompson,R,Pennsylvania,,,101
6,Ryan Costello,R,Pennsylvania,,,101
7,Pat Meehan,R,Pennsylvania,,,101
8,Mike Fitzpatrick,R,Pennsylvania,,,101
9,Bill Shuster,R,Pennsylvania,,,101
1,Tom Marino,R,Pennsylvania,,,101
1,Lou Barletta,R,Pennsylvania,,,101
1,Keith Rothfus,R,Pennsylvania,,,101
1,Brendan Boyle,D,Pennsylvania,,,101
1,Michael F. Doyle,D,Pennsylvania,,,101
1,Charles Dent,R,Pennsylvania,,,101
1,Joseph R. Pitts,R,Pennsylvania,,,101
1,Matt Cartwright,D,Pennsylvania,,,101
1,Timothy F. Murphy,R,Pennsylvania,,,101
1,David Cicilline,D,Rhode Island,,,101
2,James Langevin,D,Rhode Island,,,101
1,Mark Sanford,R,South Carolina,,,101
2,Joe Wilson,R,South Carolina,,,101
3,Jeff Duncan,R,South Carolina,,,101
4,Trey Gowdy,R,South Carolina,,,101
5,Mick Mulvaney,R,South Carolina,,,101
6,Jim Clyburn,D,South Carolina,,,101
7,Tom Rice,R,South Carolina,,,101
A,Kristi Noem,R,South Dakota,,,101
1,Phil Roe,R,Tennessee,,,101
2,Jimmy Duncan,R,Tennessee,,,101
3,Chuck Fleischmann,R,Tennessee,,,101
4,Scott DesJarlais,R,Tennessee,,,101
5,Jim Cooper,D,Tennessee,,,101
6,Diane Black,R,Tennessee,,,101
7,Marsha Blackburn,R,Tennessee,,,101
8,Stephen Fincher,R,Tennessee,,,101
9,Steve Cohen,D,Tennessee,,,101
1,Louie Gohmert,R,Texas,,,101
2,Ted Poe,R,Texas,,,101
3,Sam Johnson,R,Texas,,,101
4,John Ratcliffe,R,Texas,,,101
5,Jeb Hensarling,R,Texas,,,101
6,Joe Barton,R,Texas,,,101
7,John Culberson,R,Texas,,,101
8,Kevin Brady,R,Texas,,,101
9,Al Green,D,Texas,,,101
1,Michael McCaul,R,Texas,,,101
1,Mike Conaway,R,Texas,,,101
1,Kay Granger,R,Texas,,,101
1,Mac Thornberry,R,Texas,,,101
1,Randy Weber,R,Texas,,,101
1,Ruben Hinojosa,D,Texas,,,101
1,Beto O'Rourke,D,Texas,,,101
1,Bill Flores,R,Texas,,,101
1,Sheila Jackson Lee,D,Texas,,,101
1,Randy Neugebauer,R,Texas,,,101
2,Joaquin Castro,D,Texas,,,101
2,Lamar S. Smith,R,Texas,,,101
2,Pete Olson,R,Texas,,,101
2,Will Hurd,R,Texas,,,101
2,Kenny Marchant,R,Texas,,,101
2,Roger Williams,R,Texas,,,101
2,Michael C. Burgess,R,Texas,,,101
2,Blake Farenthold,R,Texas,,,101
2,Henry Cuellar,D,Texas,,,101
2,Gene Green,D,Texas,,,101
3,Eddie Bernice Johnson,D,Texas,,,101
3,John Carter,R,Texas,,,101
3,Pete Sessions,R,Texas,,,101
3,Marc Veasey,D,Texas,,,101
3,"Filemon Vela, Jr.",D,Texas,,,101
3,Lloyd Doggett,D,Texas,,,101
3,Brian Babin,R,Texas,,,101
1,Rob Bishop,R,Utah,,,101
2,Chris Stewart,R,Utah,,,101
3,Jason Chaffetz,R,Utah,,,101
4,Mia Love,R,Utah,,,101
A,Peter Welch,D,Vermont,,,101
1,Rob Wittman,R,Virginia,,,101
2,Scott Rigell,R,Virginia,,,101
3,Bobby Scott,D,Virginia,,,101
4,Randy Forbes,R,Virginia,,,101
5,Robert Hurt,R,Virginia,,,101
6,Bob Goodlatte,R,Virginia,,,101
7,Dave Brat,R,Virginia,,,101
8,Don Beyer,D,Virginia,,,101
9,Morgan Griffith,R,Virginia,,,101
1,Barbara Comstock,R,Virginia,,,101
1,Gerry Connolly,D,Virginia,,,101
1,Suzan DelBene,D,Washington,,,101
2,Rick Larsen,D,Washington,,,101
3,Jaime Herrera Beutler,R,Washington,,,101
4,Dan Newhouse,R,Washington,,,101
5,Cathy McMorris Rodgers,R,Washington,,,101
6,Derek Kilmer,D,Washington,,,101
7,Jim McDermott,D,Washington,,,101
8,Dave Reichert,R,Washington,,,101
9,Adam Smith,D,Washington,,,101
1,Dennis Heck,D,Washington,,,101
1,David McKinley,R,West Virginia,,,101
2,Alex Mooney,R,West Virginia,,,101
3,Evan Jenkins,R,West Virginia,,,101
1,Paul Ryan,R,Wisconsin,,,101
2,Mark Pocan,D,Wisconsin,,,101
3,Ron Kind,D,Wisconsin,,,101
4,Gwen Moore,D,Wisconsin,,,101
5,Jim Sensenbrenner,R,Wisconsin,,,101
6,Glenn Grothman,R,Wisconsin,,,101
7,Sean Duffy,R,Wisconsin,,,101
8,Reid Ribble,R,Wisconsin,,,101
A,Cynthia Lummis,R,Wyoming,,,101
A,Samoa: Amata Coleman Radewagen,R,Non-voting members,,,101
D,of Columbia: Eleanor Holmes Norton,D,Non-voting members,,,101
G,Madeleine Bordallo,D,Non-voting members,,,101
N,Mariana Islands: Gregorio Sablan,I[14],Non-voting members,,,101
P,Rico: Pedro Pierluisi,D/PNP[15],Non-voting members,,,101
V,Islands: Stacey Plaskett,D,Non-voting members,,,101
1,Sonny Callahan,R,Alabama,,,102
2,Bill Dickinson,R,Alabama,,,102
G,Browder,D,Alabama,,,102
4,Tom Bevill,D,Alabama,,,102
5,Ronnie G. Flippo,D,Alabama,,,102
6,Ben Erdreich,D,Alabama,,,102
7,Claude Harris,D,Alabama,,,102
A,Don Young,R,Alaska,,,102
1,John J. Rhodes III,R,Arizona,,,102
2,Mo Udall,D,Arizona,,,102
3,Bob Stump,R,Arizona,,,102
4,Jon Kyl,R,Arizona,,,102
5,Jim Kolbe,R,Arizona,,,102
1,Bill Alexander,D,Arkansas,,,102
2,Tommy F. Robinson,D then R,Arkansas,,,102
3,John Paul Hammerschmidt,R,Arkansas,,,102
4,"Beryl Anthony, Jr.",D,Arkansas,,,102
1,Douglas H. Bosco,D,California,,,102
2,Wally Herger,R,California,,,102
3,Robert T. Matsui,D,California,,,102
4,Vic Fazio,D,California,,,102
5,Nancy Pelosi,D,California,,,102
6,Barbara Boxer,D,California,,,102
7,George Miller,D,California,,,102
8,Ronald V. Dellums,D,California,,,102
9,Pete Stark,D,California,,,102
1,Don Edwards,D,California,,,102
1,Tom Lantos,D,California,,,102
1,Tom Campbell,R,California,,,102
1,Norman Y. Mineta,D,California,,,102
1,Norman D. Shumway,R,California,,,102
1,Tony Coelho,D,California,1989-06-15 00:00:00,,102
1,Gary Condit,D,California,,1989-09-12 00:00:00,102
1,Leon Panetta,D,California,,,102
1,Chip Pashayan,R,California,,,102
1,Richard H. Lehman,D,California,,,102
1,Robert J. Lagomarsino,R,California,,,102
2,Bill Thomas,R,California,,,102
2,Elton Gallegly,R,California,,,102
2,Carlos J. Moorhead,R,California,,,102
2,Anthony C. Beilenson,D,California,,,102
2,Henry A. Waxman,D,California,,,102
2,Edward R. Roybal,D,California,,,102
2,Howard L. Berman,D,California,,,102
2,Mel Levine,D,California,,,102
2,Julian C. Dixon,D,California,,,102
2,Augustus F. Hawkins,D,California,,,102
3,Matthew G. Martinez,D,California,,,102
3,Mervyn M. Dymally,D,California,,,102
3,Glenn M. Anderson,D,California,,,102
3,David Dreier,R,California,,,102
3,Esteban E. Torres,D,California,,,102
3,Jerry Lewis,R,California,,,102
3,"George Brown, Jr.",D,California,,,102
3,Al McCandless,R,California,,,102
3,Bob Dornan,R,California,,,102
3,William E. Dannemeyer,R,California,,,102
4,Christopher Cox,R,California,,,102
4,Bill Lowery,R,California,,,102
4,Dana Rohrabacher,R,California,,,102
4,Ron Packard,R,California,,,102
4,Jim Bates,D,California,,,102
4,Duncan Hunter,R,California,,,102
1,Patricia Schroeder,D,Colorado,,,102
2,David E. Skaggs,D,Colorado,,,102
3,Ben Nighthorse Campbell,D,Colorado,,,102
4,Hank Brown,R,Colorado,,,102
5,Joel Hefley,R,Colorado,,,102
6,Dan Schaefer,R,Colorado,,,102
1,Barbara B. Kennelly,D,Connecticut,,,102
2,Sam Gejdenson,D,Connecticut,,,102
3,Bruce A. Morrison,D,Connecticut,,,102
4,Christopher Shays,R,Connecticut,,,102
5,John G. Rowland,R,Connecticut,,,102
6,Nancy L. Johnson,R,Connecticut,,,102
A,Thomas R. Carper,D,Delaware,,,102
1,Earl Hutto,D,Florida,,,102
2,Bill Grant,D then R,Florida,,,102
3,Charles Edward Bennett,D,Florida,,,102
4,Craig T. James,R,Florida,,,102
5,Bill McCollum,R,Florida,,,102
6,Cliff Stearns,R,Florida,,,102
7,Sam M. Gibbons,D,Florida,,,102
8,C.W. Bill Young,R,Florida,,,102
9,Michael Bilirakis,R,Florida,,,102
1,Andy Ireland,R,Florida,,,102
1,Bill Nelson,D,Florida,,,102
1,Tom Lewis,R,Florida,,,102
1,Porter J. Goss,R,Florida,,,102
1,Harry A. Johnston,D,Florida,,,102
1,"E. Clay Shaw, Jr.",R,Florida,,,102
1,Lawrence J. Smith,D,Florida,,,102
1,William Lehman,D,Florida,,,102
1,Claude Pepper,D,Florida,1989-05-30 00:00:00,,102
1,Ileana Ros-Lehtinen,R,Florida,,1989-08-29 00:00:00,102
1,Dante B. Fascell,D,Florida,,,102
1,Lindsay Thomas,D,Georgia,,,102
2,Charles Floyd Hatcher,D,Georgia,,,102
3,Richard Ray,D,Georgia,,,102
4,Ben Jones,D,Georgia,,,102
5,John Lewis,D,Georgia,,,102
6,Newt Gingrich,R,Georgia,,,102
7,George Darden,D,Georgia,,,102
8,J. Roy Rowland,D,Georgia,,,102
9,Ed Jenkins,D,Georgia,,,102
1,"Doug Barnard, Jr.",D,Georgia,,,102
1,Patricia Saiki,R,Hawaii,,,102
2,Daniel K. Akaka,D,Hawaii,1990-05-15 00:00:00,,102
2,Patsy Mink,D,Hawaii,,1990-09-22 00:00:00,102
1,Larry Craig,R,Idaho,,,102
2,Richard H. Stallings,D,Idaho,,,102
1,Charles A. Hayes,D,Illinois,,,102
2,Gus Savage,D,Illinois,,,102
3,Marty Russo,D,Illinois,,,102
4,George E. Sangmeister,D,Illinois,,,102
5,William O. Lipinski,D,Illinois,,,102
6,Henry J. Hyde,R,Illinois,,,102
7,Cardiss Collins,D,Illinois,,,102
8,Dan Rostenkowski,D,Illinois,,,102
9,Sidney R. Yates,D,Illinois,,,102
1,John Edward Porter,R,Illinois,,,102
1,Frank Annunzio,D,Illinois,,,102
1,Philip M. Crane,R,Illinois,,,102
1,Harris W. Fawell,R,Illinois,,,102
1,Dennis Hastert,R,Illinois,,,102
1,Edward Madigan,R,Illinois,,,102
1,Lynn Morley Martin,R,Illinois,,,102
1,Lane Evans,D,Illinois,,,102
1,Robert H. Michel,R,Illinois,,,102
1,Terry L. Bruce,D,Illinois,,,102
2,Richard J. Durbin,D,Illinois,,,102
2,Jerry F. Costello,D,Illinois,,,102
2,Glenn Poshard,D,Illinois,,,102
1,Peter J. Visclosky,D,Indiana,,,102
2,Philip R. Sharp,D,Indiana,,,102
3,John Hiler,R,Indiana,,,102
J,L. Long,D,Indiana,,,102
5,Jim Jontz,D,Indiana,,,102
6,Dan Burton,R,Indiana,,,102
7,John T. Myers,R,Indiana,,,102
8,Frank McCloskey,D,Indiana,,,102
9,Lee H. Hamilton,D,Indiana,,,102
1,"Andrew Jacobs, Jr.",D,Indiana,,,102
1,James A. Leach,R,Iowa,,,102
2,Tom Tauke,R,Iowa,,,102
3,Dave Nagle,D,Iowa,,,102
4,Neal Smith,D,Iowa,,,102
5,Jim Ross Lightfoot,R,Iowa,,,102
6,Fred Grandy,R,Iowa,,,102
1,Pat Roberts,R,Kansas,,,102
2,Jim Slattery,D,Kansas,,,102
3,Jan Meyers,R,Kansas,,,102
4,Dan Glickman,D,Kansas,,,102
5,Bob Whittaker,R,Kansas,,,102
1,"Carroll Hubbard, Jr.",D,Kentucky,,,102
2,William H. Natcher,D,Kentucky,,,102
3,Romano L. Mazzoli,D,Kentucky,,,102
4,Jim Bunning,R,Kentucky,,,102
5,Hal Rogers,R,Kentucky,,,102
6,Larry J. Hopkins,R,Kentucky,,,102
7,Carl C. Perkins,D,Kentucky,,,102
1,Bob Livingston,R,Louisiana,,,102
2,"Corinne Claiborne ""Lindy"" Boggs",D,Louisiana,,,102
3,"Wilbert J. ""Billy"" Tauzin",D,Louisiana,,,102
4,Jim McCrery,R,Louisiana,,,102
5,"Thomas J. ""Jerry"" Huckaby",D,Louisiana,,,102
6,Richard H. Baker,R,Louisiana,,,102
7,Jimmy Hayes,D,Louisiana,,,102
8,Clyde C. Holloway,R,Louisiana,,,102
1,Joseph E. Brennan,D,Maine,,,102
2,Olympia J. Snowe,R,Maine,,,102
1,Roy Dyson,D,Maryland,,,102
2,Helen Delich Bentley,R,Maryland,,,102
3,Benjamin L. Cardin,D,Maryland,,,102
4,Tom McMillen,D,Maryland,,,102
5,Steny H. Hoyer,D,Maryland,,,102
6,Beverly B. Byron,D,Maryland,,,102
7,Kweisi Mfume,D,Maryland,,,102
8,Constance A. Morella,R,Maryland,,,102
1,Silvio O. Conte,R,Massachusetts,,,102
2,Richard E. Neal,D,Massachusetts,,,102
3,Joseph D. Early,D,Massachusetts,,,102
4,Barney Frank,D,Massachusetts,,,102
5,Chester G. Atkins,D,Massachusetts,,,102
6,Nicholas Mavroules,D,Massachusetts,,,102
7,Edward J. Markey,D,Massachusetts,,,102
8,Joseph P. Kennedy II,D,Massachusetts,,,102
9,John Joseph Moakley,D,Massachusetts,,,102
1,Gerry E. Studds,D,Massachusetts,,,102
1,Brian J. Donnelly,D,Massachusetts,,,102
1,"John Conyers, Jr.",D,Michigan,,,102
2,Carl D. Pursell,R,Michigan,,,102
3,Howard Wolpe,D,Michigan,,,102
4,Fred Upton,R,Michigan,,,102
5,Paul B. Henry,R,Michigan,,,102
6,Bob Carr,D,Michigan,,,102
7,Dale E. Kildee,D,Michigan,,,102
8,Bob Traxler,D,Michigan,,,102
9,Guy Vander Jagt,R,Michigan,,,102
1,Bill Schuette,R,Michigan,,,102
1,Robert William Davis,R,Michigan,,,102
1,David E. Bonior,D,Michigan,,,102
